"Establishment Name","Address",
,"UT",
,"UT",
,"PO Box 618                Farmington UT 84025",
,"UT",
,"910 w 150 n                Layton UT 84041",
"PEARSON AUTO","1586 w 1700 s                syracuse UT 84075",
,"184W 870N                Sunset UT 84015",
"BIG O TIRES","320 N Main St                Kaysville UT 84037",
,"131 n 800 w                West Bountiful UT 84087",
"FOWERS POINT S","651 W 725 N                Clearfield UT 84015",
,"219 e 2450 s                Clearfield UT 84015",
,"307s 500e                Clearfield UT 84015",
,"498 South 40 East                Farmington UT 84025",
,"200 N 600 E                Morgan UT 84050",
,"754 S 410 W                Ogden UT 84404",
"PERFORMANCE TOYOTA","1172 CONCORD ST                SALT LAKE CITY UT 84104",
,"35 N 700 W                N. Salt Lake UT 84054",
,"35 N 700 W                N. Salt Lake UT 84054",
,"1500 E 650 N                Fruit Heights UT 84037",
,"2048 W 5125 S                Roy UT 84067",
,"2085 w 4450 s                Roy UT 84067",
"YOUNG VOLKWAGEN / AUDI","814N 1925 W                layton UT 84041",
,"1020 E yale ave                Salt Lake City UT 84105",
,"4348 S 2325 W                Roy UT 84067",
,"68 south 200 west apt B                Bountiful UT 84010",
,"5761 W 5200 S                Hooper UT 84315",
"BAKER AUTOMOTIVE","335 S 750 E                layton UT 84041",
"PERFORMANCE FORD TRUCK COUNTRY","1733 S Sawtooth Blvd.                Santaquin UT 84655",
"PERFORMANCE FORD TRUCK COUNTRY","1733 s sawtooth blvd                santaquin UT 84655",
,"1132 n 1920 w                Farmington UT 84025",
,"118 e 1325 n                Layton UT 84041",
"YOUNG KIA","308 N Main St                LAYTON UT 84041",
"TOYOTA","467w 1875s                Bountiful UT 84010",
"JIFFY LUBE","200 n 600 e                morgan UT 84050",
"KINGS AUTO REPAIR","177 N 4375 W                West Point UT 84015",
"PERFORMANCE FORD TRUCK COUNTRY","13350 Point drive                Draper UT 84020",
"GILLS POINT S","1078 W 1800 N                Clinton UT 84015",
"MY SELF","2778 W 1700 N                Clinton VA 84015",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
"VALVOLINE INSTANT OIL CHANGE","3559 S 2000 W                Syracuse UT 84075",
,"2193 W 4800 s                Roy UT 84067",
,"UT",
,"UT",
,"UT",
,"736 w state st A302                farmington UT 84025",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
"EXTREME AUTO SERVICE","606 N 1000 W                Centerville UT 84014",
,"1497 N 2525 W                Layton UT 84041",
,"1902 E 700 S Unit C107                Clearfield UT 84015",
"GRIFFON FAST LUBE","611 s 150 e                Kaysville UT 84037",
,"2269 West Monarch Drive                Farmington UT 84025",
"LAYTON TUNEX & TIRE PRO'S","2955 N Hillfield Rd. bld. O Appt# 1132                Layton UT 84041",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"1497 W Silvercreek Dr.                Layton UT 84041",
,"UT",
"HONDA PERFORMANCE","3708 Monarch Drive                Bountiful UT 84010",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
"BOUNTIFUL EMISSIONS","416 W. 500 S.                Bountiful UT 84010",
,"UT",
,"UT",
"VALVOLINE INSTANT OIL CHANGE","230 s state street apt 525                Clearfield UT 84015",
,"UT",
,"UT",
,"UT",
,"UT",
,"698 W Nielsen Farm Ct                Taylorsville UT 84123",
,"UT",
,"960 W 2600 N                Layton UT 84041",
"JIFFY LUBE","1129 w 1700 s                syracuse UT 84075",
,"UT",
,"UT",
,"UT",
,"1320 west 1045 south                Clearfield UT 84015",
"HARRISON","1023 W 550 S                LAYTON UT 84041",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
"JAY'S TIREPROS","1250 Millbridge Lane                West Bountiful UT 84087",
,"UT",
,"UT",
,"UT",
,"UT",
,"1090 South Kays Drive                Kaysville UT 84037",
"BIG O TIRES","1699 w 1700 s                syracuse UT 84075",
,"UT",
,"2323 South 800 West, 33                woods cross UT 84087",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"3474s 50 w                Bountiful UT 84010",
,"UT",
,"UT",
,"UT",
,"950 S 200 W                BOUNTIFUL UT 84010",
,"UT",
,"UT",
"IMPORT AUTO CLINIC","4480 W 3600 S                West Haven UT 84401",
,"UT",
"CUTTING EDGE AUTO CARE","405 N 1000 W                Clearfield UT 84015",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"UT",
,"235 east 300 north                Bountiful UT 84010",
,"UT",
,"1476 Meadowbrook Creek                Syracuse UT",
,"UT",
"JIFFY LUBE","1683 Navajo Dr.                Ogden UT 84403",
,"UT",
"JIFFY LUBE CORP.","1494 N 2475 W                Clinton UT 84015",
"TRUSPEED PERFORMANCE","555 w 600 s                Bountiful UT 84101",
,"UT",
,"UT",
,"2080 E 3100 N                Layton UT 84040",
,"UT",
,"UT",
,"UT",
"PERFORMANCE TOYOTA","8542 Huckleberry Circle                West Jordan UT 84088",
,"540 S 1350 E                Fruit heights UT 84037",
,"UT",
,"UT",
,"UT",
,"1688 Lakeview Drive                Bountiful UT 84010",
,"UT",
,"631 8th St.                Ogden UT 84404",
,"443 n Fairfield Rd APT. 40                Layton UT 84041",
,"2941 s 1150 w                Syracuse UT 84075",
,"2251 W 1825 S                Syracuse UT 84075",
"QUICK EMISSIONS LLC","1200 S 1500 E Clearfield ut 84015                Clearfirld UT 84015",
"QUICK EMISSIONS","2544 pinewood lane                Layton UT 84040",
,"1241 West 675 South                Marriott-Slaterville UT 84404",
,"832 W 4200 S                Riverdale UT 84405",
"JIFFY LUBE STORE 3229","215 W 200 N                KAYSVILLE UT 84037",
,"UT",
,"UT",
,"1775 W 4800 S                Roy UT 84067",
"QUICK EMISSIONS","505 N Main St.                Layton UT 84041",
"QUICK EMISSIONS","907 south 1213 east                Fruit Heights UT 84037",
,"2726 W 2025 N                Clinton UT 84015",
,"UT",
"VALVOLINE INSTANT OIL CHANGE","1819 W 4650 S Unit V                Roy UT 84067",
,"2901 N 400 W                Layton UT 84041",
"JIFFY LUBE 3730","300 west parrish lane                centerville UT 84014",
"VALVOLINE","2194 w 2120 n                Clinton UT 84015",
,"1068 allington drive                North salt lake UT 84054",
,"2164 North 3000 West                Clinton UT 84015",
"VALVOLINE INSTANT OIL CHANGE","1756 Doral Dr                Syracuse UT 84075",
,"274 E 600 N                Kaysville UT 84037",
,"1619 W 1375 S                Syracuse UT 84075",
,"UT",
,"UT",
,"362 S 950 W                Layton UT 84041",
"VALVOLINE","230 State Street, Apt 106                Clearfield UT 84015",
"BIG O TIRES","2722 w 2850 s                syracuse UT 84075",
"VALVOLINE","1254 N 4950 W                Plain City UT 84404",
"VALVOLINE","856 W Antelope Dr                Clearfield UT 84015",
"FOWERS POINT S","814 S Birch ST                Clearfield UT 84015",
"PERFORMANCE FORD TRUCK COUNTRY","3551 w 4050 s                West valley UT 84119",
"RICHINS","25 E 1800 S Apt A201                Clearfield UT 84015",
"GARRETTS POINT S TIRE & AUTO","2421 N 400 E                North Ogden UT 84414",
"VALVOLINE","1125 midtown crossing                Layton UT 84041",
"VALVOLINE","747 W 4100 South                Riverdale UT 84405",
,"1478 W 800 N                Clearfield UT 84015",
