license_number,dba,business_name,street,naics,naics_desc,description,status
0481073,PAPA JOHN'S PIZZA #2368,PAPA JOHN'S PIZZA #2368,1258 N WASHINGTON BLVD,7225,Restaurants and Other Eating Places,TAKE OUT PIZZA & DELIVERY,Active
GBL001691-07-2020,Marco's Pizza 6041,MPUT 6041 LLC,114 N WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Carryout / Delivery Pizza Restaurant,Active
1017034,STEINYS FAMILY SPORTS GRILL,CURVEBALL INC,119 N 600 W,7225,Restaurants and Other Eating Places,Restaurant w/Beer & Wine,Active
1017034,STEINYS FAMILY SPORTS GRILL,CURVEBALL INC,119 N 600 W,7225,Restaurants and Other Eating Places,Restaurant w/Beer & Wine,Active
1017034,STEINYS FAMILY SPORTS GRILL,CURVEBALL INC,119 N 600 W,7225,Restaurants and Other Eating Places,Restaurant w/Beer & Wine,Active
1017034,STEINYS FAMILY SPORTS GRILL,CURVEBALL INC,119 N 600 W,7225,Restaurants and Other Eating Places,Restaurant w/Beer & Wine,Active
1017034,STEINYS FAMILY SPORTS GRILL,CURVEBALL INC,119 N 600 W,7225,Restaurants and Other Eating Places,Restaurant w/Beer & Wine,Active
1017034,STEINYS FAMILY SPORTS GRILL,CURVEBALL INC,119 N 600 W,7225,Restaurants and Other Eating Places,Restaurant w/Beer & Wine,Active
1005049,THE DRAGON RESTAURANT,THE DRAGON RESTAURANT,303 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,CHINESE RESTAURANT,Active
1025440,CHICK-FIL-A AT OGDEN FSU,BART NORMAN LLC,1120 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Chick-Fil-A Restaurant,Active
1022491,LOLO HAWAIIAN BBQ INC,LOLO HAWAIIAN BBQ INC,310 12TH ST,7225,Restaurants and Other Eating Places,HAWAIIAN RESTAURANT. QUICK SERVICE,Active
1025838,ARCTIC CIRCLE RESTAURANTS INC,"Arctic Circle Restaurants, Inc.",325 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,QUICK SERVICE RESTAURANT WITH DRIVE-THROUGH.,Active
1021553,MARIA'S SNACK SHOP LLC,"GONZALEZ, MARIA D",1036 CENTURY DR,7225,Restaurants and Other Eating Places,Retail Sales of Snacks & Drinks inside Ogden Indoor Soccer,Active
1000702,DEL TACO #271,DEL TACO #271,1160 WALL AVE,7225,Restaurants and Other Eating Places,"MEXICAN FAST FOOD, OPEN 24 HOURS A DAY.",Active
1017127,ROCK BOTTOM LOUNGE,J & C Inc,317 WASHINGTON BLVD,7224,Drinking Places (Alcholic Beverages),Social Club/Rest/D Beer/Liquor/Cabaret,Active
1024259,BLACK BEAR DINER - OGDEN,BEAR TRACKS HOLDINGS LLC,366 12TH ST,7225,Restaurants and Other Eating Places,RESTAURANT / DINER,Active
