decision,reason,name,street,naics,license_description,cuisines
drop,"institution, mobile, or convenience",Rocky Mountain Burger Bus,671 MONROE BLVD,7223,MOBILE FOOD TRUCK. COOK FOOD ON SITE. COMMISSARY / COMMERCIAL KITCHEN @ 671 MONROE BLVD. BUS-TRUCK STORED @ BUSINESS ADDRESS.,
drop,"institution, mobile, or convenience",Northern Utah Grounds for Coffee,4401 HARRISON BLVD,7225,Coffee Cart Inside IHC/McKay Dee Hospital,
drop,special food service without a storefront,Hilton Garden Inn - Ogden,2271 WASHINGTON BLVD,7223,"On Premise Banquet W/ Beer, Wine & Liquor",
drop,special food service without a storefront,Ogden Eccles Conference Center,2415 WASHINGTON BLVD,7223,"On Premise Banquet W/ Beer, Wine & Liquor for Ogden Eccles Conference Center",
drop,special food service without a storefront,Taqueria y Tortas El Paraiso,2581 WASHINGTON BLVD,7223,Sidewalk Vendor / Food Cart,
drop,special food service without a storefront,Taqueria La Tapatia,2529 WASHINGTON BLVD,7223,Sidewalk Vendor / Food Cart,
drop,special food service without a storefront,Courtyard Ogden,247 24TH ST,7223,"On-Premise Banquet W/ Beer, Wine & Liquor",
drop,"institution, mobile, or convenience",Taboo Pizza,3017 HARRISON BLVD,7225,Food Trailer for Taboo Pizza,
drop,convenience store,Kwick Shop 2,675 N MONROE BLVD,44512,"Neighborhood Grocery Market with ""A"" Beer",
drop,"institution, mobile, or convenience",Maverik Inc,689 WASHINGTON BLVD,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Karmart Convenience Store,205 HARRISON BLVD,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Common Cents Stores,1184 WALL AVE,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Ogden Mini Mart Store No 8,1015 12TH ST,44512,"Convenience Store ""A"" Beer with Gas Pumps Station",
drop,"institution, mobile, or convenience",Maverik Inc,1212 WALL AVE,44512,"Convenience Store ""A"" Beer with Gas Pump Station",
drop,"institution, mobile, or convenience",Ogden Mini Mart Store 4,1177 12TH ST,44512,"Convenience Store ""A"" Beer with Gas Pumps Station",
