facility_id,name,street,city_raw,city,zip
36BED0EFBFE0191C87257FFC00789D14,1984 Classic Arcade,3626 West 5600 South Unit A,Roy,Roy,84067
78346D7DDC42361C8625848E0063ACD6,"25th Street Pizza, LLC",3560 Riverdale Road,Ogden,Ogden,84405
802DE2501EB2E77586258599005DC2AA,5 S LODGE,3265 SOUTH STATE STREET,MORGAN,Morgan,84050
7E278F0CE0FCE0578625768800614453,7- ELEVEN STORE#23842C - 7-ELEVEN STORE#23482C,416 East 2604 North,NORTH OGDEN,North Ogden,84414
9B46B388B53A49F08625768800614479,7-11 --25789C,4410 South 1900 West,ROY,Roy,84067
2EAD7662B5C975BE86257688006146FB,7-11 --26352C - 7-11 26352C,5983 South 1900 West,ROY,Roy,84067
EE6565CE73F3AC4A872576DB00727F7A,7-11 #34361B - 7-11 #34361b,5605 S 3500 W,Roy,Roy,84067
7927F629328E68EB86257AD40000E148,7-11 #35692A,3405 Washington Blvd.,Ogden,Ogden,84401
015A8E2F439FEF19862585750076CD88,7-11 #38606A,2098 South 1900 West,West Haven,West Haven,84401
B67DE3FF4ADD8FB68625768800617EF1,7-ELEVEN,404 East 300 North STATE STREET,MORGAN,Morgan,84050
4232A02FFA21B96986258A75007EE431,7-Eleven Store #34740B,4090 Riverdale Road,Riverdale,Riverdale,84405
9517FB1DA06EA02486258A520063F61C,7-Eleven Store #38847A,428 N Wall Ave,Harrisville,Harrisville,84404
15C2F03A7E7EE65686258721005B5BC8,7-ELEVEN #23558D,803 24TH Street,Ogden,Ogden,84401
C23FA81ECF83A5C987257AD9005600B7,7-ELEVEN #35682A,490 40th St.,South Ogden,South Ogden,84403
9F68B9DEEF5541AC8625859E005AD9B9,7-ELEVEN #35997B,4186 Harrison Blvd.,Ogden,Ogden,84403
2A11B660C12683B986258A820063C10D,7-ELEVEN #38675A,2012 Harrison Blvd.,Ogden,Ogden,84401
807A53D7D88C82CE86258AD00063AD29,7-Eleven #38706B,2105 WALL AVENUE,OGDEN,Ogden,84401
442327FF7D70EDAE86258663007B4C25,7-ELEVEN #38870A,3976 So. Midland Drive,Roy,Roy,84067
003B200A8D8B844B87257E8B007E3595,ABC BRAVO RIVERDALE,5165 S 1500 W,Riverdale,Riverdale,84405
7251D8ED19F527318625768800613161,ABC MANDARIN - ABC Mandarin,5260 South 1900 West,ROY,Roy,84067
